*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=KniticV201_+CompactPCB2Res
*Date=13:39:41
*CreatedBy=Fritzing 0.8.7b.01.24.1bf5
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;72.6694;-16.1846;0;Bottom;Copper Fill81
103;;;9.6393;-51.6176;0;Bottom;Copper Fill33
104;220;THT;31.5005;-8.51944;180;Bottom;R7
105;;;33.5534;-16.1846;0;Bottom;Copper Fill71
106;;THT;4.57652;-11.0594;-90;Bottom;end_of_lineLeft
107;;;46.1645;-26.37;0;Bottom;Copper Fill35
108;;;26.4033;-3.4084;0;Bottom;Copper Fill138
109;;;50.7365;-7.066;0;Bottom;Copper Fill89
110;;;44.2004;-35.6975;0;Bottom;Via2
111;;;45.1358;-25.3413;0;Bottom;Copper Fill114
112;;;39.6494;-29.6466;0;Bottom;Copper Fill2
113;;;13.6652;-25.3413;0;Bottom;Copper Fill117
114;;;14.7193;-26.37;0;Bottom;Copper Fill38
115;;;61.6585;-47.1726;0;Bottom;Copper Fill14
116;;THT;4.57652;-3.94744;90;Bottom;end_of_lineRight
117;;;38.6334;-16.1846;0;Bottom;Copper Fill73
118;;;46.0248;-46.8678;0;Bottom;Copper Fill64
119;;THT;6.60852;-32.9034;0;Bottom;power1
120;;;57.6072;-43.1213;0;Bottom;Copper Fill102
121;;;57.968;-39.867;0;Bottom;TXT1
122;220;THT;48.2645;-8.51944;180;Bottom;R9
123;;;67.5894;-16.1846;0;Bottom;Copper Fill79
124;;;52.2478;-8.5773;0;Bottom;Copper Fill87
125;;;60.6298;-48.2013;0;Bottom;Copper Fill93
126;;;52.2478;-8.5773;0;Bottom;Copper Fill9
127;;;31.0134;-16.1846;0;Bottom;Copper Fill70
128;10k;THT;31.7184;-44.5513;135;Bottom;R1
129;;;28.4734;-16.1846;0;Bottom;Copper Fill69
130;;;5.2324;-34.2313;0;Bottom;Copper Fill27
131;;;53.2765;-7.5486;0;Bottom;Copper Fill86
132;;;6.5913;-27.8178;0;Bottom;Copper Fill108
133;;;6.5913;-32.8978;0;Bottom;Copper Fill104
134;;;9.6393;-51.6176;0;Bottom;Copper Fill111
135;;;7.8994;-34.2313;0;Bottom;Copper Fill28
136;;;41.1734;-16.1846;0;Bottom;Copper Fill74
137;;;53.2765;-9.606;0;Bottom;Copper Fill7
138;;;4.5593;-10.0378;0;Bottom;Copper Fill48
139;;;59.9694;-16.1846;0;Bottom;Copper Fill76
140;;;4.5593;-2.9258;0;Bottom;Copper Fill128
141;;;19.2913;-46.4614;0;Bottom;Copper Fill45
142;;;3.58481;-39.5014;-90;Bottom;TXT2
143;;;49.5046;-25.3413;0;Bottom;Copper Fill42
144;;;47.1932;-25.3413;0;Bottom;Copper Fill115
145;;;58.0898;-45.6613;0;Bottom;Copper Fill97
146;;;50.7365;-7.066;0;Bottom;Copper Fill11
147;;;4.5593;-5.0848;0;Bottom;Copper Fill49
148;;;49.7078;-6.0373;0;Bottom;Copper Fill90
149;;;4.5593;-5.0848;0;Bottom;Copper Fill127
150;;;50.4825;-26.3192;0;Bottom;Copper Fill41
151;220;THT;28.9605;-5.97944;180;Bottom;R8
152;;;76.1492;-7.5613;0;Bottom;Copper Fill133
153;;;65.0494;-16.1846;0;Bottom;Copper Fill78
154;;;49.1236;-50.5254;0;Bottom;Copper Fill63
155;;;6.5913;-30.4848;0;Bottom;Copper Fill29
156;;;62.6872;-48.2013;0;Bottom;Copper Fill94
157;10k;THT;54.1065;-45.6034;180;Bottom;R5
158;;;51.7652;-6.0373;0;Bottom;Copper Fill91
159;10µF;100 mil [THT, electrolytic];46.2325;-24.0134;90;Bottom;C4
160;;;53.2765;-9.606;0;Bottom;Copper Fill85
161;;;53.5305;-27.894;0;Bottom;Copper Fill53
162;10k;THT;35.5284;-44.5513;135;Bottom;R2
163;;THT;20.2065;-44.4514;-45;Bottom;Buzzer
164;;;19.0373;-26.3192;0;Bottom;Copper Fill121
165;;;6.5913;-35.5648;0;Bottom;Copper Fill25
166;;;5.2324;-29.1513;0;Bottom;Copper Fill31
167;;;38.6334;-7.2692;0;Bottom;Copper Fill5
168;;;4.5593;-12.1968;0;Bottom;Copper Fill47
169;;;56.5785;-44.15;0;Bottom;Copper Fill99
170;220;THT;45.7245;-5.97944;180;Bottom;R10
171;;;40.9956;-26.497;0;Bottom;Copper Fill82
172;;;18.2118;-45.4073;0;Bottom;Copper Fill124
173;;;58.0898;-45.6613;0;Bottom;Copper Fill19
174;;;22.0853;-27.894;0;Bottom;Copper Fill51
175;;;60.6298;-48.2013;0;Bottom;Copper Fill15
